IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,736201625,7999.995,1318.3582,1318.3795,0.0014986186,2.2533927E-06,-0.0006681509,-5.2553645E-05,2.6644107E-06,0.00010074582,-2.7122256E-05,-7.352011E-08,0.00013558417,-1.9901904,-0.0027092625,-0.0002964103,0.387308,0.3873864,0.41675478,0.41698357,0.00017872882,0.0005171249,-5.7019122E-05,0.000258041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4858755E-05,3.9842336E-05,-0.00013066984,-0.0001242271,0.0001804493,0.00051865744,0.00014256853,0.00028638702,-2.5205314E-05,-1.3902783E-05,2.503395E-05,5.9388578E-05,50,3,32,1,8,-5217.6885,179.48117,-437.23395,0.00011366048,-0.1396174,-0.0010112778,98.55191,98.58163,98.52779,98.52779,-14.7,1,0,0,0,0,359.4717,0,0,0,0,0,0,1,0,0,0
True,736210046,7999.995,1318.3582,1614.0546,0.034016084,-0.020459266,-0.015214872,0.004318669,-0.0015910158,-0.00065246737,-0.00024489826,-6.2777515E-05,-0.011822357,-1.9901932,-0.0027177425,-0.00075683556,0.3860199,0.38934508,0.41579542,0.4186972,1.9696396E-05,1.7619523E-05,2.5025758E-05,2.0411047E-05,-0.001796756,-0.001479623,-0.0017730518,-0.0014744449,0,0,0,0,0,0,0,0,0,0,0,0,0.0019915914,0.0020104619,0.0013851232,0.0013962627,0.0019916887,0.0020105392,0.0013853492,0.0013964118,-0.00021089986,0.0002684556,-0.000119015574,0.00031669438,50,3,32,1,8,-5217.6885,179.48111,-437.2338,0.004648435,27971.252,166.5742,98.46495,98.49483,98.44077,98.44077,-11.387983,1,0,0,0,0,367.90198,0,0,255,0,0,0,1,0,0,0
True,736210140,7999.995,1318.3582,1722.9362,-0.025248794,0.009832901,0.011276706,-0.00014398695,-0.00051708147,-0.000644592,0.00010528421,0.00018728952,0.0015577849,-1.9901822,-0.0027169164,-0.0015900563,0.38362166,0.39361617,0.41370767,0.422896,0.0011637062,0.001719203,-0.00010664795,-0.00011814992,0,0,-0.0018591969,-0.0026842721,0,0,0,0,0,0,0,0,0,0,0,0,-0.0034890035,-0.0034584065,-0.0022271455,-0.0022039327,0.0036779556,0.0038621542,0.0022296975,0.0022070974,-0.0005566254,0.0008841753,-0.0004324913,0.0009471439,50,3,32,1,8,-5217.6885,179.48094,-437.23337,0.00083881133,-3482.544,-19.288563,98.43327,98.463104,98.40898,98.40898,-14.7,1,0,0,0,0,368.00235,0,0,0,0,0,0,1,0,0,0
True,736210250,7999.995,1318.3582,1972.7274,0.044770554,0.01943287,0.09386687,0.0008875175,0.0007033491,-0.00094653736,0.00010253361,-0.00023441682,-0.0033722958,-1.9901934,-0.0027030068,-0.0014030662,0.38417786,0.39330232,0.41409236,0.4222863,1.7570092E-06,3.0403371E-05,1.1856068E-05,2.9113782E-05,-0.003480179,-0.0023939677,-0.0034354667,-0.00239343,0,0,0,0,0,0,0,0,0,0,0,0,0.0023372504,0.0023660352,0.0012593629,0.0012812318,0.002337251,0.0023662306,0.0012594187,0.0012815625,-0.000476446,0.0008389279,-0.00037473068,0.0008556023,50,3,32,1,8,-5217.688,179.48096,-437.2335,0.0014759133,31677.527,154.15408,98.40212,98.43193,98.37763,98.37763,-11.387983,1,0,0,0,0,368.10138,0,0,255,0,0,0,1,0,0,0
True,736210375,7999.995,1318.3582,2357.0994,-0.009914127,0.011568286,0.016028069,-0.0007339077,0.00035399833,-0.0014208094,8.868985E-06,0.00020389758,0.0028521633,-1.9901807,-0.0026894126,-0.002217165,0.38082752,0.39617464,0.4107806,0.424455,3.0458592E-05,-2.1831775E-06,2.751745E-05,4.9511673E-06,-0.00375437,-0.0046979734,-0.003764303,-0.0046692104,0,0,0,0,0,0,0,0,0,0,0,0,-0.0034552754,-0.0034084388,-0.002011334,-0.0019708993,0.0034554098,0.0034084395,0.0020115222,0.0019709056,-0.00095942616,0.0012530014,-0.0008719936,0.00118123,50,3,32,1,8,-5217.688,179.48102,-437.23306,0.001637875,3388.552,13.733566,98.3605,98.39029,98.33568,98.33568,-13.475,1,0,0,0,0,368.2339,0,0,0,0,0,0,1,0,0,0
True,736210484,7999.995,1318.3582,2583.1277,0.011121198,0.019803368,0.064633064,5.2042305E-05,0.00017180132,0.006319566,-0.0012717354,-0.00018327692,0.0017436757,-1.9901944,-0.0027084136,-0.0019180906,0.38181883,0.3953454,0.41218308,0.42388552,-0.0016477925,-0.0015475191,0.027480222,0.026785672,0.017062074,0.018015202,0.066099465,0.06569758,0,0,0,0,0,0,0,0,0,0,0,0,0.00054814434,0.00058954663,-0.0005093311,-0.00047490885,0.001736572,0.0016560135,0.027484942,0.026789881,-0.0008165203,0.0011334568,-0.0006614104,0.0010957234,50,3,32,1,8,-5217.6875,179.48099,-437.23325,0.0063221147,18362.38,67.95462,98.3292,98.35898,98.30464,98.30464,-12.25,1,0,0,0,0,368.3335,0,0,0,0,0,0,1,0,0,0
True,736210578,7999.995,1318.3582,2131.388,-0.11779231,-0.11577038,2.6536026,-0.0023770332,-0.010780713,0.31402364,-0.031900275,-9.0797934E-05,0.004370654,-1.9901872,-0.0041798204,-0.0014240141,0.37706086,0.38851917,0.42454612,0.43310037,-0.013729906,-0.013826027,0.27197814,0.2692525,0.9276404,0.9277272,1.7842089,1.7772484,0,0,0,0,0,0,0,0,0,0,0,0,0.00096003927,0.0009782931,0.00087474077,0.0008921751,0.01376343,0.013860594,0.27197954,0.269254,-0.0015024282,0.00014939532,0.0011949167,0.0024793409,50,3,32,1,8,-5217.6978,179.48067,-437.2384,0.31421763,2483.7964,11.047372,98.300446,98.330215,98.326965,98.326965,-13.757692,1,0,0,0,0,368.43344,0,0,255,0,0,0,1,0,0,0
True,736210718,7999.995,1318.3582,1878.6101,0.01583153,0.06003591,2.7241337,7.0780516E-05,-0.0050069313,0.7172907,-0.0084068505,-3.4774028E-05,0.0012964881,-1.9902041,-0.007857224,-0.0013485827,0.35715416,0.36559826,0.45837238,0.46589884,-0.0052794972,-0.005242943,0.09987564,0.09852361,2.1237185,2.123872,2.4385357,2.4352179,0,0,0,0,0,0,0,0,0,0,0,0,-0.0009951174,-0.0008875496,-0.0011715514,-0.0009935974,0.0053724623,0.0053175366,0.099882506,0.098528616,-0.004372161,-0.0031548664,0.0062739663,0.007404074,50,3,32,1,8,-5217.7656,179.47969,-437.2684,0.71730816,4258.835,21.58527,98.26346,98.29323,98.3774,98.3774,-13.475,1,0,0,0,0,368.56683,0,0,0,0,0,0,1,0,0,0
True,736210812,7999.995,1318.3582,1740.9309,-0.07708031,0.011758091,1.611675,-0.0006419122,-0.0025187219,0.8831657,0.0129236495,-4.9055532E-05,0.0010255543,-1.9902036,-0.0073969704,-0.0009786843,0.35832825,0.36392224,0.45686343,0.4626581,-0.0030530042,-0.0030554268,0.06082976,0.06051145,2.5984917,2.5986943,2.7841806,2.7832322,0,0,0,0,0,0,0,0,0,0,0,0,0.0012484622,0.0015490218,0.00065474637,0.0011559258,0.0032984074,0.0034256533,0.060833283,0.060522493,-0.0042029023,-0.0033964813,0.006047394,0.0069174767,50,3,32,1,8,-5217.84,179.4802,-437.3015,0.8831695,13643.869,74.897316,98.23471,98.26443,98.38244,98.38244,-12.597929,1,0,0,0,0,368.6668,0,0,255,0,0,0,1,0,0,0
True,736210921,7999.995,1318.3582,1810.5084,0.18928623,-0.026161367,1.490305,0.000348866,-0.006314107,0.9767364,0.0164119,5.042342E-05,-0.0003866353,-1.9902055,-0.0057653263,-0.0012133445,0.3699311,0.37708193,0.44664985,0.45295438,-0.0026052922,-0.0025956691,0.052130014,0.05116134,2.87369,2.8735375,3.034723,3.0322087,0,0,0,0,0,0,0,0,0,0,0,0,-0.0014898493,-0.0011621539,-0.0011610704,-0.0006973759,0.0030011996,0.0028439586,0.05214294,0.051166095,-0.002530247,-0.0014993884,0.004513819,0.0054604486,50,3,32,1,8,-5217.925,179.48029,-437.33945,0.97675693,4654.956,24.529716,98.205475,98.2352,98.37274,98.37274,-13.475,1,0,0,0,0,368.76688,0,0,0,0,0,0,1,0,0,0
