IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,736007390,8499.995,834.9604,834.9619,-0.034539368,-0.04717931,0.02236959,-0.00020262938,0.008531456,0.000487552,0.00097003276,-1.3400838E-06,0.00042729537,1.1187198,-0.0012524899,0.0045083314,0.3841995,0.38431934,0.42408648,0.42428505,0.09723569,0.09398923,-0.111747056,-0.105385296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001090749,0.0010738679,0.00024214872,0.0004398584,0.0972418,0.09399536,0.11174732,0.10538621,0.0015619695,0.0015803874,0.0019425601,0.0019750595,107,3,32,2,4,-5922.013,180.6857,-763.70123,0.008547777,-0.006370187,-7.285458E-05,197.60791,197.47885,178.21973,178.21973,-2.6260338,1,0,0,0,0,165.16722,0,0,0,0,0,0,1,0,0,0
True,736007484,8499.995,834.9604,834.9619,0.008595473,-0.054886017,-0.003262361,-0.00014511659,0.0051763887,0.00023599816,0.0004975385,-1.1759281E-06,0.00030557832,1.11872,-0.001183143,0.00454347,0.38039497,0.38022035,0.41945115,0.41936126,0.09728926,0.09403233,-0.111701235,-0.105349995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010838587,0.0010706385,0.00023755008,0.0004397184,0.09729529,0.09403843,0.11170149,0.10535091,0.0009772778,0.00095044076,0.0011839122,0.0011692047,107,3,32,2,4,-5922.013,180.68634,-763.7012,0.005183797,-0.006370187,-7.285458E-05,197.35887,197.23737,178.1694,178.1694,-3.2195253,1,0,0,0,0,165.26372,0,0,0,0,0,0,1,0,0,0
True,736007578,8499.995,834.9604,834.9619,0.002930822,-0.03719603,-0.0014407185,-0.00010181564,0.002550673,5.7752673E-05,0.00013846066,-6.1979347E-07,0.00021859343,1.1187202,-0.0011574397,0.004562119,0.37733218,0.3769712,0.415983,0.41575265,0.0973728,0.09410616,-0.111622505,-0.105281025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001069391,0.0010595159,0.00022023794,0.00042654495,0.09737867,0.09411212,0.11162272,0.10528189,0.0005065799,0.00045110285,0.0006162971,0.0005785972,107,3,32,2,4,-5922.013,180.68683,-763.7011,0.0025533575,-0.006370187,-7.285458E-05,197.03113,196.9191,178.09964,178.09964,-4.023385,1,0,0,0,0,165.39954,0,0,0,0,0,0,1,0,0,0
True,736007703,8499.995,834.9604,834.9619,0.0003116765,0.026344571,-5.582759E-05,-9.796511E-05,0.0011198923,3.059931E-05,6.00648E-05,-2.6035502E-07,0.00019880572,1.1187202,-0.0011574397,0.004562119,0.37541392,0.37499863,0.41422325,0.41394028,0.09740448,0.094134495,-0.11159308,-0.105255134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010701298,0.0010637542,0.00022288105,0.00043331104,0.09741036,0.09414051,0.111593306,0.10525603,0.0002117753,0.00014795363,0.00032828748,0.00028197467,107,3,32,2,4,-5922.013,180.68712,-763.7011,0.0011245855,-0.006370187,-7.285458E-05,196.66876,196.56665,178.01706,178.01706,-4.9438877,1,0,0,0,0,165.56308,0,0,0,0,0,0,1,0,0,0
True,736007812,8499.995,834.9604,834.9619,0.013367919,-0.00024149986,-0.006491321,-0.00010362893,0.00059397484,2.279754E-05,4.016248E-05,-1.0985055E-06,0.00020750906,1.1187202,-0.0011574397,0.004562119,0.37467033,0.37430567,0.41354504,0.41324407,0.09740642,0.09413124,-0.11159195,-0.10525923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010705383,0.0010664251,0.00021824971,0.00043126737,0.0974123,0.09413728,0.111592166,0.10526012,9.74983E-05,4.145503E-05,0.00021728873,0.0001680255,107,3,32,2,4,-5922.013,180.68721,-763.70105,0.00060337776,-0.006370187,-7.285458E-05,196.45093,196.35446,177.9642,177.9642,-5.514612,1,0,0,0,0,165.66916,0,0,0,0,0,0,1,0,0,0
True,736007906,8499.995,834.9604,834.9619,0.0025162406,-0.0093484465,-0.0012532345,-0.000101974096,0.00031983253,1.2969609E-05,3.1408697E-05,1.5818841E-06,0.00020817773,1.1187202,-0.0011574397,0.004562119,0.37431893,0.37391257,0.41321856,0.41297492,0.09741348,0.09415146,-0.111585066,-0.10523966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010513794,0.0010491314,0.00022213366,0.00043736934,0.09741916,0.09415731,0.11158529,0.10524057,4.349649E-05,-1.8954277E-05,0.00016385317,0.00012397766,107,3,32,2,4,-5922.013,180.68726,-763.70105,0.00033594604,-0.006370187,-7.285458E-05,196.26407,196.17226,177.91661,177.91661,-6.015524,1,0,0,0,0,165.76547,0,0,0,0,0,0,1,0,0,0
True,736008000,8499.995,834.9604,834.9619,0.00046691753,-0.00360637,-0.00023886432,-0.0001361814,0.00021332678,-2.4657056E-06,5.345064E-07,-1.2706037E-06,0.0002621683,1.1187202,-0.0011574397,0.004562119,0.37417358,0.3739277,0.4131073,0.41283125,0.09741187,0.094134495,-0.111587,-0.105256744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010636521,0.0010638809,0.00021205642,0.0004300711,0.097417675,0.09414051,0.111587204,0.10525762,2.1159649E-05,-1.6629696E-05,0.00014564395,0.00010046363,107,3,32,2,4,-5922.013,180.68727,-763.70105,0.00025310033,-0.006370187,-7.285458E-05,196.08572,195.99823,177.86903,177.86903,-6.504158,1,0,0,0,0,165.86246,0,0,0,0,0,0,1,0,0,0
True,736008140,8499.995,834.9604,834.9619,3.302524E-05,-0.0035815584,-2.8113529E-05,-0.00015423374,7.761913E-05,-0.00012132496,0.00014848661,-2.3669655E-07,0.00030806407,1.1187202,-0.0011574397,0.004562119,0.3740137,0.37376568,0.41298002,0.41268158,0.09713321,0.09383549,-0.1118672,-0.105556995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010741504,0.0010792066,0.0001963183,0.0004187134,0.09713915,0.093841694,0.11186737,0.10555782,-3.412366E-06,-4.1529536E-05,0.00012481213,7.596612E-05,107,3,32,2,4,-5922.013,180.6873,-763.70105,0.00021102732,-0.006370187,-7.285458E-05,195.85704,195.77489,177.80484,177.80484,-7.1460238,1,0,0,0,0,165.9948,0,0,0,0,0,0,1,0,0,0
True,736008234,8499.995,834.9604,914.7996,5.7764264E-06,-0.00062675495,-4.916472E-06,-2.42854E-06,-9.2883065E-06,-0.0002819084,0.00022822164,8.234012E-05,-0.00021945535,1.1187208,-0.0011522501,0.004566634,0.37402526,0.37372243,0.4129027,0.4126386,-0.0028768443,-0.0027890783,0.00449159,0.004264882,-0.06461553,-0.06291348,0.07378404,0.06909431,0,0,0,0,0,0,0,0,0,0,0,0,0.001100195,0.0011001688,0.0006533884,0.0008775864,0.0030800425,0.002998221,0.0045388653,0.0043542366,-1.6391277E-06,-4.8175454E-05,0.00011216104,6.893277E-05,107,3,32,2,4,-5922.013,180.6873,-763.70105,0.00028207182,2540.2605,26.674524,195.68774,195.6094,177.74951,177.74951,-7.588619,1,0,0,0,0,166.09564,0,0,255,0,0,0,1,0,0,0
True,736008375,8499.995,834.9604,1823.4192,-0.049537927,-0.011692219,0.024017548,0.0012383068,-0.00070664927,0.012320688,-0.0018958368,-7.767562E-06,-0.0024796452,1.1187211,-0.0011592036,0.004383552,0.37378177,0.37428588,0.4125186,0.413273,0.013583722,0.013273008,0.023055403,0.022702817,0.06513976,0.06454881,0.08082488,0.08021988,0,0,0,0,0,0,0,0,0,0,0,0,0.0010241335,0.001075848,0.0005630251,0.00076168665,0.013622274,0.013316538,0.023062276,0.02271559,-3.9055943E-05,3.8415194E-05,4.929304E-05,0.00017276406,107,3,32,2,4,-5922.013,180.68727,-763.701,0.012402909,23299.084,123.061455,195.43365,195.36154,177.62842,177.62842,-7.5955653,1,0,0,0,0,166.2297,0,0,255,0,0,0,1,0,0,0
