IsRaceOn,TimestampMS,MaxRPM,IdleRPM,RPM,AccelX,AccelY,AccelZ,LinVelX,LinVelY,LinVelZ,AngVelX,AngVelY,AngVelZ,Yaw,Pitch,Roll,SuspNormFL,SuspNormFR,SuspNormRL,SuspNormRR,SlipRatioFL,SlipRatioFR,SlipRatioRL,SlipRatioRR,WheelSpeedFL,WheelSpeedFR,WheelSpeedRL,WheelSpeedRR,OnRumbleStripFL,OnRumbleStripFR,OnRumbleStripRL,OnRumbleStripRR,InPuddleFL,InPuddleFR,InPuddleRL,InPuddleRR,SurfaceRumbleFL,SurfaceRumbleFR,SurfaceRumbleRL,SurfaceRumbleRR,SlipAngleFL,SlipAngleFR,SlipAngleRL,SlipAngleRR,SlipCombinedFL,SlipCombinedFR,SlipCombinedRL,SlipCombinedRR,SuspAbsFL,SuspAbsFR,SuspAbsRL,SuspAbsRR,CarOrdinal,CarClass,CarPI,Drivetrain,Cylinders,CarType,Placeholder2,Placeholder3,PosX,PosY,PosZ,Speed,Power,Torque,TireTempFL,TireTempFR,TireTempRL,TireTempRR,Boost,Fuel,DistTraveled,BestLapTime,LastLapTime,CurLapTime,CurRaceTime,LapNo,RacePos,Throttle,Brake,Clutch,Handbrake,Gear,Steer,DrivingLine,AIBrakeDiff
1,691539718,8499.9951171875,1122.13134765625,1122.1630859375,-4.450937922229059e-05,-0.0008490964537486434,6.298220250755548e-05,-7.756255217827857e-05,-1.6024172509787604e-05,-0.0003398682165425271,-0.00026648875791579485,1.8475948309060186e-06,0.00022045709192752838,-2.234804153442383,0.07422931492328644,0.05274777114391327,0.45606306195259094,0.4701443910598755,0.4218617081642151,0.3937020003795624,0.09584785997867584,-0.07554452121257782,0.002324709203094244,-0.10689160972833633,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006794118322432041,-0.042914509773254395,0.042916327714920044,0.05306798592209816,0.09608835726976395,0.08688285201787949,0.04297924414277077,0.1193399652838707,-0.001179758459329605,0.0013593100011348724,0.000984683632850647,-0.003687117248773575,615,3,800,2,4,34,0,0,-6395.17333984375,383.1265563964844,4484.3984375,0.00034897439763881266,-0.0348818302154541,-0.0002968346525449306,221.11029052734375,219.228515625,208.0167999267578,208.0167999267578,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.192138671875,0,0,0,0,0,0,3,0,0,0
1,691539734,8499.9951171875,1122.13134765625,1122.162353515625,-3.5242061130702496e-05,-0.0006723058177158237,4.986866406397894e-05,-7.891488348832354e-05,-1.744610744935926e-05,-4.157361763645895e-05,-0.0002827155985869467,2.9562143026851118e-06,0.00022195423662196845,-2.234804153442383,0.07422931492328644,0.05274776369333267,0.45606401562690735,0.470144122838974,0.4218531548976898,0.39370304346084595,0.09568954259157181,-0.07569766044616699,0.002167239785194397,-0.10704454779624939,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006800808943808079,-0.04291965812444687,0.04291742667555809,0.053069449961185455,0.09593091160058975,0.08701857924461365,0.04297211393713951,0.11947761476039886,-0.0011795833706855774,0.0013592727482318878,0.00098327174782753,-0.003686942160129547,615,3,800,2,4,34,0,0,-6395.17333984375,383.1265563964844,4484.3984375,9.088614024221897e-05,-0.03408541902899742,-0.0002900575927924365,220.87857055664062,219.0093994140625,207.81005859375,207.81005859375,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.2060546875,0,0,0,0,0,0,3,0,0,0
1,691539750,8499.9951171875,1122.13134765625,1122.1619873046875,-2.7840664188261144e-05,-0.0005311107961460948,3.93954360333737e-05,-8.160358265740797e-05,-1.898003029054962e-05,7.839787576813251e-05,-0.00026918575167655945,2.539463821449317e-06,0.00022406868811231107,-2.234804153442383,0.07422931492328644,0.05274776369333267,0.4560597538948059,0.47014668583869934,0.42185139656066895,0.3937046527862549,0.09543567150831223,-0.07594908028841019,0.0019140801159664989,-0.10729578137397766,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006803300231695175,-0.04291991889476776,0.042918890714645386,0.05307123810052872,0.09567786008119583,0.08723750710487366,0.04296154901385307,0.11970355361700058,-0.001180354505777359,0.0013597309589385986,0.0009829774498939514,-0.003686673939228058,615,3,800,2,4,34,0,0,-6395.17333984375,383.1265563964844,4484.3984375,0.00011474150232970715,-0.03360757231712341,-0.0002859913802240044,220.64674377441406,218.7902069091797,207.603271484375,207.603271484375,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.219970703125,0,0,0,0,0,0,3,0,0,0
1,691539765,8499.9951171875,1122.13134765625,1122.1614990234375,-2.1826472220709547e-05,-0.00041637924732640386,3.0885163141647354e-05,-8.496453665429726e-05,-1.955162952071987e-05,-0.00034461624454706907,-0.0002700505719985813,2.3591710487380624e-06,0.00022928466205485165,-2.234804153442383,0.07422931492328644,0.05274776369333267,0.4560587406158447,0.4701486825942993,0.42185279726982117,0.39370623230934143,0.09586258977651596,-0.07552051544189453,0.0023416890762746334,-0.10686704516410828,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006802629679441452,-0.042921651154756546,0.042919937521219254,0.05307262763381004,0.09610365331172943,0.08686550706624985,0.0429837703704834,0.11932002753019333,-0.0011805295944213867,0.001360088586807251,0.0009832121431827545,-0.003686409443616867,615,3,800,2,4,34,0,0,-6395.17333984375,383.1265563964844,4484.3984375,0.0003554737486410886,-0.0331297293305397,-0.0002819251676555723,220.41024780273438,218.566650390625,207.39239501953125,207.39239501953125,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.234375,0,0,0,0,0,0,3,0,0,0
1,691539781,8499.9951171875,1122.13134765625,1122.1611328125,-0.001740264822728932,-0.03296395391225815,0.002454712986946106,-8.708070527063683e-05,-2.0785208107554354e-05,-4.36324262409471e-05,-0.00028444937197491527,1.8517166608944535e-06,0.00023267949291039258,-2.234804153442383,0.07422931492328644,0.05274776369333267,0.4560585916042328,0.4701494574546814,0.4218561351299286,0.39371004700660706,0.09568341076374054,-0.07569793611764908,0.0021633629221469164,-0.10704424232244492,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006803538184612989,-0.042920827865600586,0.04292135313153267,0.05307440832257271,0.0959249883890152,0.08701939880847931,0.04297583922743797,0.11947955191135406,-0.0011805631220340729,0.0013602301478385925,0.00098375603556633,-0.003685779869556427,615,3,800,2,4,34,0,0,-6395.17333984375,383.12652587890625,4484.3984375,9.959348244592547e-05,-0.032651882618665695,-0.00027785892598330975,220.18283081054688,218.35165405273438,207.18963623046875,207.18963623046875,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.248291015625,0,0,0,0,0,0,3,0,0,0
1,691539796,8499.9951171875,1122.13134765625,1122.16064453125,0.0003500225720927119,0.006627771072089672,-0.0004936432815156877,-8.832358435029164e-05,-1.671947211434599e-05,7.805261702742428e-05,-0.0002657438744790852,7.010239642113447e-07,0.0002467955928295851,-2.234804153442383,0.07422931492328644,0.05274776369333267,0.4560874402523041,0.47016870975494385,0.4218708872795105,0.3938630521297455,0.09543931484222412,-0.07594307512044907,0.0019199219532310963,-0.10728917270898819,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006806875579059124,-0.04292191192507744,0.04291645810008049,0.05306985601782799,0.09568174183368683,0.08723326027393341,0.04295938089489937,0.11969701945781708,-0.00117536261677742,0.001363702118396759,0.0009862110018730164,-0.003660392016172409,615,3,800,2,4,34,0,0,-6395.17333984375,383.12652587890625,4484.3984375,0.00011904959683306515,-0.03217403590679169,-0.0002737926843110472,219.95565795898438,218.13690185546875,206.98712158203125,206.98712158203125,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.262451171875,0,0,0,0,0,0,3,0,0,0
1,691539812,8499.9951171875,1122.13134765625,1122.16015625,0.000276308914180845,0.005231983494013548,-0.0003896835842169821,-9.378363756695762e-05,5.8191408243146725e-06,-0.000339664111379534,-0.00025030469987541437,1.7797137843444943e-06,0.00029213857487775385,-2.234804153442383,0.07422931492328644,0.05274776369333267,0.456104040145874,0.47017499804496765,0.4218856394290924,0.39406684041023254,0.09586524963378906,-0.07551565766334534,0.002346355700865388,-0.10686144232749939,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006824374198913574,-0.04294157028198242,0.042899977415800095,0.05305372551083565,0.0961078405380249,0.08687113225460052,0.04296409338712692,0.11930660158395767,-0.0011723600327968597,0.0013648346066474915,0.0009886547923088074,-0.003626585006713867,615,3,800,2,4,34,0,0,-6395.17333984375,383.12652587890625,4484.3984375,0.0003524215135257691,-0.03169618919491768,-0.00026972644263878465,219.73086547851562,217.92440795898438,206.78677368164062,206.78677368164062,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.276611328125,0,0,0,0,0,0,3,0,0,0
1,691539812,8499.9951171875,1122.13134765625,1122.1597900390625,0.0019352029776200652,0.03665268421173096,-0.00272955559194088,-0.00010814066627062857,3.4887794754467905e-05,-3.8789705286035314e-05,-0.0002397154166828841,4.015484591946006e-06,0.00034032147959806025,-2.234804153442383,0.07422931492328644,0.05274776369333267,0.4561064839363098,0.4701753258705139,0.4218999147415161,0.39413946866989136,0.09569986164569855,-0.0756751075387001,0.0021814992651343346,-0.10702052712440491,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006848157849162817,-0.042963314801454544,0.04288676753640175,0.05304088070988655,0.09594456851482391,0.08702050894498825,0.042942214757204056,0.11944340914487839,-0.0011719241738319397,0.0013648942112922668,0.0009910240769386292,-0.0036145374178886414,615,3,800,2,4,34,0,0,-6395.17333984375,383.1265563964844,4484.3984375,0.00012006748875137419,-0.03121834807097912,-0.00026566023007035255,219.50828552246094,217.71400451660156,206.5884246826172,206.5884246826172,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.29052734375,0,0,0,0,0,0,3,0,0,0
1,691539828,8499.9951171875,1122.13134765625,1122.1593017578125,-0.00018849808839149773,-0.0035711736418306828,0.00026590601191855967,-0.00012782460544258356,5.669601887348108e-05,9.537952428217977e-05,-0.00020352417777758092,3.359540642122738e-06,0.00035647189361043274,-2.234804153442383,0.07422931492328644,0.05274776369333267,0.45608311891555786,0.4701664447784424,0.421892911195755,0.39398232102394104,0.09545858204364777,-0.07591256499290466,0.0019406069768592715,-0.10725774616003036,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006850427016615868,-0.04296300560235977,0.042892154306173325,0.05304655060172081,0.09570407122373581,0.08722693473100662,0.04293603077530861,0.11965851485729218,-0.0011761300265789032,0.0013632960617542267,0.000989861786365509,-0.0036406032741069794,615,3,800,2,4,34,0,0,-6395.17333984375,383.1265563964844,4484.3984375,0.00016926552052609622,-0.03074050135910511,-0.00026159401750192046,219.28765869140625,217.5054931640625,206.39186096191406,206.39186096191406,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.304443359375,0,0,0,0,0,0,3,0,0,0
1,691539843,8499.9951171875,1122.13134765625,1122.158935546875,-0.00015051357331685722,-0.002851291559636593,0.0002122969162883237,-0.00014079062384553254,6.281529931584373e-05,-0.00029497439390979707,-0.00019564497051760554,1.6702360881026834e-06,0.00033201216137968004,-2.234804153442383,0.07422671467065811,0.05275237560272217,0.45607680082321167,0.4701615571975708,0.42188137769699097,0.3938232660293579,0.09583207219839096,-0.075539730489254,0.0023145803716033697,-0.10688477754592896,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006821749731898308,-0.04293617606163025,0.042918555438518524,0.05307319015264511,0.09607456624507904,0.08688938617706299,0.042980924248695374,0.11933615803718567,-0.001177273690700531,0.0013624131679534912,0.0009879432618618011,-0.0036669932305812836,615,3,800,2,4,34,0,0,-6395.17333984375,383.1265563964844,4484.3984375,0.00033283274387940764,-0.03026266023516655,-0.0002575277758296579,219.07778930664062,217.30712890625,206.20492553710938,206.20492553710938,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.31787109375,0,0,0,0,0,0,3,0,0,0
